,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук Acer Aspire 3 17.3""i3-1115G4/8Gb/512Gb(NX.AD0ER.012)",65 100 ₽,17.3,512,8 ГБ,2,"Ноутбук, блок питания, документация",,2.6 кг,Windows Home
"Ноутбук Hasee T7-DA7NP 16.0"" 16G 512G i7-12700H RTX3050 4G",92 160 ₽,"16""; 2,5K",512 Гб,16 ГБ; DDR4,14,Ноутбук - 1 шт; Блок питания - 1 шт; Сетевой шнур - 1 шт; инструкция; гарантийный талон,,2.25 кг,
"Ноутбук Hiper EXPERTBOOK MTL1577 15.6"",цвет серый",58 390 ₽,"15.6""",256 Гб,64,6-ядерный,"Ноутбук-1шт.,документация-1шт.",4800 мА*ч,,Free DOS
Ноутбук Sarbook Nova Silver для работы,56 120 ₽,"15,6",1024 Гб,12 ГБ,8,"Ноутбук, блок, шнур питания, документация",5000мА/ч 11.4В,,Windows Home
"Ноутбук Lenovo ThinkPad T16 G1 i5/16/512/16""(21BV0097US)",123 000 ₽,14,512,16 ГБ,10,"Ноутбук, блок питания, документация",,1.77 кг,Windows Pro
Ноутбук Hiper WORKBOOK MTL1585W1115W1,52 621 ₽,"15.6""",512 гб,8 гб,2,ноутбук; зарядное устройство; документация,5000 мАч,1.7 кг,Windows 10 Pro
"Ноутбук TECNO T1/ i3 12/256GB/15.6""/ Linux/ Denim Blue",33 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Linux
Ноутбук HP Victus 15-fa0032ci (799A5EA),81 340 ₽,"15.6""",512 Гб,16,12,,,,noOS
CHUWI Corebook X 14''2160x1440/i3-10110U/8GB+512GB/Win11HOME,34 690 ₽,"14 """,512 Гб,8 ГБ,2 ядер,инструкция - 1шт; зарядное устройство - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт,4000 mAh,1.5 кг,Windows 11 Home
"Ноутбук Pro Fortis M i3 10110U/8Gb/SSD256Gb/15.6""/noOS",30 424 ₽,"15.6""",256 Гб,8 ГБ,2,,4250 мА*ч,,noOS
"Ноутбук Lenovo ThinkBook 15 G4 15.6"" i7/16/512 (21DJ000DUA)",159 520 ₽,15.6,512,16 ГБ,10,"Ноутбук, блок питания, документация",,1.7 кг,Windows Pro
"Ноутбук Acer Aspire7 Ryzen5 5625U/8Gb/512Gb/15.6""RTX3050/DOS",75 000 ₽,15.6,512,8 ГБ,6,"Ноутбук, документация, блок питания",,2.15 кг,Без системы
Ноутбук ThinkBook 16p Gen 2 (20YM002VRM),210 990 ₽,16,1024 Гб,32 Гб,8,блок питания; инструкция,71 Втч,1.99 кг,Windows
Ноутбук Lenovo IdeaPad L3 15IML05 81Y300T1RK,65 298 ₽,"15.6""",128 гб,12 гб,4,Ноутбук; зарядное устройство; документация,,2.2 кг,DOS
Ноутбук Galaxy book (NP750XDA-KD7IT),66 990 ₽,"15.6""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,54 Втч,1.55 кг,Windows
"Ноутбук Acer Aspire 3 A317-54-33GH Silver 17.3"" FHD i",73 610 ₽,17.3,512,8 ГБ,6,"адаптер питания, документация",,3 кг,DOS
